SMILES,pIC50,mol,num_atoms,logP
O=C(O)c1ccccc1O,0.08,<rdkit.Chem.rdchem.Mol object at 0x7f59a296a570>,10,1.0903999999999998
O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296a5e0>,17,-3.4569000000000005
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296a650>,21,1.8907
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296a6c0>,20,2.9841200000000017
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296a730>,17,-1.2181000000000002
CC(N)C(O)c1cccc(O)c1,0.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a296a7a0>,12,0.7728000000000002
CC(C)NCC(O)c1ccc2ccccc2c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296a810>,17,2.871200000000001
NNC(=O)c1ccncc1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296a880>,10,-0.3149000000000006
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,0.06,<rdkit.Chem.rdchem.Mol object at 0x7f59a296a8f0>,16,1.2272
CC(C)NNC(=O)c1ccncc1,0.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a296a960>,13,0.7243999999999996
C1CCc2nnnn2CC1,0.4,<rdkit.Chem.rdchem.Mol object at 0x7f59a296a9d0>,10,0.39949999999999997
CCN(CC)N=O,0.1,<rdkit.Chem.rdchem.Mol object at 0x7f59a296aa40>,7,1.0095999999999998
NC(=O)c1ccccc1,0.16,<rdkit.Chem.rdchem.Mol object at 0x7f59a296aab0>,9,0.7855000000000001
O=C(O)c1ccncc1,0.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ab20>,9,0.7797999999999999
COP(=S)(OC)Oc1ccc(SC)c(C)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ab90>,16,3.6130200000000023
N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ac00>,34,4.175280000000002
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ac70>,15,-1.0200999999999996
CC(C)OP(=O)(F)OC(C)C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ace0>,11,2.9140000000000015
CS(=O)(=O)OCCCCOS(C)(=O)=O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ad50>,14,-0.2809999999999997
NCCCC(=O)O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296adc0>,7,-0.19009999999999977
ClC(Cl)(Cl)Cl,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296ae30>,5,2.5529
CN1C(=O)C(C)(C2=CCCCC2)C(=O)N=C1O,0.04,<rdkit.Chem.rdchem.Mol object at 0x7f59a296aea0>,17,1.4057
CC[N+](CC)(CC)CC,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296af10>,9,1.8827999999999998
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296af80>,18,3.2711000000000023
NCC(=O)O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296aff0>,5,-0.9702999999999999
CC(N)C(=O)O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b060>,6,-0.5817999999999999
NC(CO)C(=O)O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b0d0>,7,-1.6093999999999997
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b140>,27,4.266700000000004
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b1b0>,21,5.553220000000004
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b220>,20,4.828600000000005
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b290>,24,3.1732000000000014
c1ccc2cc3c(ccc4ccccc43)cc2c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b300>,18,5.146200000000003
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,0.04,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b370>,14,1.3814
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b3e0>,22,4.431120000000004
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0.12,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b450>,20,0.9089999999999998
OCC(O)CO,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b4c0>,6,-1.6681000000000001
NC(CC(=O)O)C(=O)O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b530>,9,-1.127
NC(=O)CCC(N)C(=O)O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b5a0>,10,-1.3361999999999998
NC(CCC(=O)O)C(=O)O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b610>,10,-0.7368999999999997
NCCCCC(N)C(=O)O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b680>,10,-0.4726999999999995
NC(CSSCC(N)C(=O)O)C(=O)O,,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b6f0>,14,-0.8083999999999993
NCc1ccc(C(=O)O)cc1,0.14,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b760>,11,0.8435000000000001
C[N+](C)(C)Cc1ccccc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a296b7d0>,11,1.8928
